%T (K)	r_RRR10	        r_RRR15	        r_RRR16	        r_RRR25	        r_RRR50	        r_RRR100	r_RRR200	r_RRR300
190	284.5453112	290.4227815	291.0922608	294.3941145	297.7033507	303.2859606	314.8318745	324.8287139
191	284.6056358	290.4358402	291.0991347	294.3668349	297.6455955	303.2136044	314.7514286	324.7440683
192	284.6651798	290.4485782	291.1057505	294.3396534	297.5882719	303.1418457	314.67167	324.6601528
193	284.7239301	290.4609746	291.1120862	294.3125418	297.5313463	303.070648	314.5925605	324.5769281
194	284.7818749	290.4730098	291.1181212	294.2854735	297.4747865	302.9999767	314.5140639	324.4943567
195	284.8390029	290.4846655	291.1238362	294.2584234	297.4185622	302.9297988	314.4361456	324.412403
196	284.8953044	290.4959244	291.1292128	294.2313676	297.3626442	302.8600829	314.3587726	324.3310328
197	284.9507702	290.5067704	291.1342342	294.2042837	297.3070051	302.790799	314.2819134	324.2502137
198	285.005392	290.5171887	291.1388845	294.1771504	297.2516187	302.7219187	314.2055382	324.1699148
199	285.0591627	290.5271653	291.1431487	294.1499476	297.1964602	302.6534148	314.1296184	324.0901064
200	285.1120757	290.5366872	291.147013	294.1226565	297.141506	302.5852615	314.0541267	324.0107605
201	285.1641251	290.5457424	291.1504645	294.0952592	297.0867337	302.5174343	313.9790372	323.9318503
202	285.2153059	290.5543197	291.1534913	294.0677389	297.0321221	302.4499098	313.9043253	323.8533501
203	285.2656139	290.5624089	291.1560822	294.0400798	296.9776509	302.3826656	313.8299674	323.7752356
204	285.3150451	290.5700003	291.1582268	294.012267	296.9233012	302.3156808	313.7559411	323.6974837
205	285.3635966	290.5770853	291.1599157	293.9842865	296.8690547	302.2489352	313.6822251	323.6200721
206	285.4112659	290.5836559	291.1611401	293.9561253	296.8148944	302.1824096	313.6087991	323.54298
207	285.4580509	290.5897047	291.1618919	293.927771	296.7608039	302.1160859	313.5356438	323.4661871
208	285.5039503	290.595225	291.1621638	293.8992121	296.706768	302.0499469	313.4627408	323.3896745
209	285.5489631	290.6002109	291.1619489	293.8704378	296.652772	301.9839761	313.3900726	323.313424
210	285.5930888	290.6046569	291.1612412	293.841438	296.5988021	301.9181579	313.3176225	323.2374182
211	285.6363276	290.608558	291.1600351	293.8122033	296.5448454	301.8524777	313.2453748	323.1616407
212	285.6786797	290.6119101	291.1583256	293.7827249	296.4908895	301.7869214	313.1733144	323.0860759
213	285.720146	290.6147091	291.1561082	293.7529948	296.4369229	301.7214757	313.1014269	323.0107089
214	285.7607278	290.6169518	291.153379	293.7230052	296.3829346	301.6561279	313.0296989	322.9355255
215	285.8004265	290.6186353	291.1501344	293.6927492	296.3289142	301.5908662	312.9581174	322.8605123
216	285.8392441	290.6197572	291.1463715	293.6622203	296.2748521	301.5256792	312.8866702	322.7856564
217	285.8771827	290.6203154	291.1420875	293.6314125	296.2207391	301.4605563	312.8153456	322.7109459
218	285.914245	290.6203084	291.1372804	293.6003204	296.1665666	301.3954871	312.7441327	322.636369
219	285.9504338	290.6197347	291.1319482	293.5689388	296.1123265	301.3304623	312.6730208	322.561915
220	285.9857521	290.6185936	291.1260895	293.5372631	296.0580112	301.2654726	312.6020003	322.4875734
221	286.0202032	290.6168845	291.1197033	293.5052893	296.0036136	301.2005095	312.5310615	322.4133343
222	286.0537908	290.6146072	291.1127887	293.4730134	295.949127	301.1355651	312.4601957	322.3391885
223	286.0865186	290.6117617	291.1053454	293.440432	295.8945452	301.0706315	312.3893944	322.265127
224	286.1183906	290.6083483	291.0973731	293.4075421	295.8398624	301.0057017	312.3186497	322.1911416
225	286.1494111	290.6043677	291.0888719	293.374341	295.7850732	300.9407688	312.247954	322.1172242
226	286.1795845	290.5998208	291.0798424	293.3408262	295.7301725	300.8758265	312.1773002	322.0433674
227	286.2089153	290.5947087	291.0702851	293.3069957	295.6751556	300.8108687	312.1066815	321.9695641
228	286.2374083	290.5890327	291.0602008	293.2728476	295.6200181	300.74589	312.0360917	321.8958075
229	286.2650683	290.5827945	291.0495909	293.2383805	295.5647562	300.6808849	311.9655248	321.8220914
230	286.2919005	290.5759958	291.0384564	293.2035931	295.5093659	300.6158485	311.894975	321.7484098
231	286.3179099	290.5686385	291.0267991	293.1684843	295.453844	300.5507763	311.8244372	321.674757
232	286.3431018	290.5607249	291.0146205	293.1330535	295.3981872	300.4856638	311.7539063	321.6011278
233	286.3674816	290.5522573	291.0019227	293.0973	295.3423928	300.4205071	311.6833777	321.5275171
234	286.391055	290.5432381	290.9887077	293.0612236	295.286458	300.3553023	311.6128469	321.4539203
235	286.4138273	290.53367	290.9749777	293.0248242	295.2303806	300.290046	311.5423098	321.3803329
236	286.4358045	290.5235558	290.9607352	292.9881017	295.1741585	300.2247349	311.4717627	321.3067508
237	286.4569921	290.5128985	290.9459826	292.9510566	295.1177896	300.1593661	311.4012018	321.2331702
238	286.4773962	290.501701	290.9307226	292.9136891	295.0612723	300.0939366	311.3306238	321.1595874
239	286.4970225	290.4899666	290.914958	292.876	295.0046052	300.0284441	311.2600256	321.085999
240	286.5158772	290.4776985	290.8986917	292.8379899	294.9477868	299.9628861	311.1894042	321.0124019
241	286.5339662	290.4649001	290.8819268	292.7996598	294.8908161	299.8972604	311.118757	320.938793
242	286.5512956	290.4515749	290.8646663	292.7610107	294.8336922	299.8315652	311.0480815	320.8651697
243	286.5678717	290.4377265	290.8469135	292.7220437	294.7764142	299.7657986	310.9773753	320.7915295
244	286.5837005	290.4233585	290.8286716	292.6827603	294.7189815	299.6999591	310.9066364	320.7178699
245	286.5987883	290.4084746	290.8099441	292.6431617	294.6613937	299.6340451	310.8358627	320.6441888
246	286.6131414	290.3930788	290.7907345	292.6032496	294.6036504	299.5680554	310.7650524	320.5704842
247	286.626766	290.3771748	290.7710463	292.5630255	294.5457514	299.5019888	310.694204	320.4967543
248	286.6396684	290.3607665	290.750883	292.5224912	294.4876966	299.4358444	310.6233159	320.4229973
249	286.6518549	290.3438581	290.7302485	292.4816486	294.429486	299.3696213	310.5523868	320.3492117
250	286.663332	290.3264535	290.7091463	292.4404994	294.37112	299.3033188	310.4814155	320.2753962
251	286.6741059	290.3085568	290.6875803	292.3990457	294.3125986	299.2369362	310.410401	320.2015495
252	286.684183	290.2901721	290.6655543	292.3572896	294.2539223	299.170473	310.3393422	320.1276705
253	286.6935696	290.2713037	290.6430721	292.3152333	294.1950915	299.1039289	310.2682384	320.0537581
254	286.7022721	290.2519557	290.6201378	292.2728788	294.1361069	299.0373036	310.1970889	319.9798115
